epoch,step,val_acc
0,1,0.8947368264198303
1,3,0.9122806787490845
2,5,0.9122806787490845
3,7,0.9122806787490845
4,9,0.9122806787490845
5,11,0.9122806787490845
6,13,0.9122806787490845
7,15,0.9122806787490845
8,17,0.9122806787490845
9,19,0.9122806787490845
